Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
All of Statistics,Larry Wasserman,2004,Graduate/advanced undergraduate textbook,2004,Springer-Verlag New York,978-0-387-40272-7,978-0-387-21736-9,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-0-387-21736-9,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9,"Mathematics; Computational Mathematics and Numerical Analysis; Probability Theory and Stochastic Processes; Complex Systems; Statistical Theory and Methods; Probability and Statistics in Computer Science; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences",Springer New York,Springer
Discrete Mathematics,"László Lovász, József Pelikán, Katalin Vesztergombi",2003,Undergraduate textbook,2003,Springer-Verlag New York,978-0-387-95584-1,978-0-387-21777-2,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/b97469,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2,Mathematics; Combinatorics; Number Theory,Springer New York,Springer
Numerical Optimization,"Jorge Nocedal, Stephen Wright",2nd ed. 2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag New York,978-0-387-30303-1,978-0-387-40065-5,EN,English/International,11649,Mathematics and Statistics,,1431-8598,2197-1773,Springer Series in Operations Research and Financial Engineering,,http://doi.org/10.1007/978-0-387-40065-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5,"Mathematics; Optimization; Calculus of Variations and Optimal Control; Optimization; Systems Theory, Control; Computational Mathematics and Numerical Analysis; Operations Research/Decision Theory",Springer New York,Springer
Time Series Analysis,"Jonathan D. Cryer, Kung-Sik Chan",2nd ed. 2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag New York,978-0-387-75958-6,978-0-387-75959-3,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-0-387-75959-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-75959-3,Mathematics; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Actuarial Sciences,Springer New York,Springer
Introductory Statistics with R,Peter Dalgaard,2nd ed. 2008,Undergraduate textbook,2008,Springer-Verlag New York,978-0-387-79053-4,978-0-387-79054-1,EN,English/International,11649,Mathematics and Statistics,,1431-8784,2197-1706,Statistics and Computing,,http://doi.org/10.1007/978-0-387-79054-1,http://link.springer.com/openurl?genre=book&isbn=978-0-387-79054-1,Mathematics; Probability Theory and Stochastic Processes; Statistics and Computing/Statistics Programs; Bioinformatics; Computer Appl. in Life Sciences,Springer New York,Springer
The Elements of Statistical Learning,"Trevor Hastie, Robert Tibshirani, Jerome Friedman",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-84857-0,978-0-387-84858-7,EN,English/International,11649,Mathematics and Statistics,,0172-7397,2197-568X,Springer Series in Statistics,,http://doi.org/10.1007/978-0-387-84858-7,http://link.springer.com/openurl?genre=book&isbn=978-0-387-84858-7,Computer Science; Data Mining and Knowledge Discovery; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Computational Biology/Bioinformatics; Computer Appl. in Life Sciences,Springer New York,Springer
Introductory Time Series with R,"Paul S.P. Cowpertwait, Andrew V. Metcalfe",2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-88697-8,978-0-387-88698-5,EN,English/International,11649,Mathematics and Statistics,,2197-5736,2197-5744,Use R!,,http://doi.org/10.1007/978-0-387-88698-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88698-5,"Mathematics; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Probability and Statistics in Computer Science; Marketing; Econometrics; Signal, Image and Speech Processing",Springer New York,Springer
A Beginner's Guide to R,"Alain Zuur, Elena N. Ieno, Erik Meesters",2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-93836-3,978-0-387-93837-0,EN,English/International,11649,Mathematics and Statistics,,2197-5736,2197-5744,Use R!,,http://doi.org/10.1007/978-0-387-93837-0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-93837-0,"Statistics; Statistics and Computing/Statistics Programs; Theoretical Ecology/Statistics; Statistics for Life Sciences, Medicine, Health Sciences",Springer New York,Springer
"Reading, Writing, and Proving","Ulrich Daepp, Pamela Gorkin",2nd ed. 2011,Undergraduate textbook,2011,"Springer Science+Business Media,LLC",978-1-4419-9478-3,978-1-4419-9479-0,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4419-9479-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9479-0,Mathematics; Mathematical Logic and Foundations; Analysis; Number Theory,Springer New York,Springer
Introduction to Partial Differential Equations,David Borthwick,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing AG,978-3-319-48934-6,978-3-319-48936-0,EN,English/International,11649,Mathematics and Statistics,,0172-5939,2191-6675,Universitext,,http://doi.org/10.1007/978-3-319-48936-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-48936-0,Mathematics; Partial Differential Equations; Mathematical Applications in the Physical Sciences,Springer International Publishing,Springer
Introduction to Partial Differential Equations,Peter J. Olver,2014,Undergraduate textbook,2014,Springer International Publishing Switzerland,978-3-319-02098-3,978-3-319-02099-0,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-319-02099-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-02099-0,Mathematics; Partial Differential Equations; Complex Systems; Fourier Analysis,Springer International Publishing,Springer
Methods of Mathematical Modelling,"Thomas Witelski, Mark Bowen",1st ed. 2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-23041-2,978-3-319-23042-9,EN,English/International,11649,Mathematics and Statistics,,1615-2085,2197-4144,Springer Undergraduate Mathematics Series,,http://doi.org/10.1007/978-3-319-23042-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23042-9,Mathematics; Ordinary Differential Equations; Partial Differential Equations; Mathematical Applications in the Physical Sciences; Mathematical Modeling and Industrial Mathematics; Calculus of Variations and Optimal Control; Optimization,Springer International Publishing,Springer
Introduction to Statistics and Data Analysis ,"Christian Heumann, Michael Schomaker,  Shalabh",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-46160-1,978-3-319-46162-5,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-319-46162-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-46162-5,Statistics; Statistical Theory and Methods; Statistics for Business/Economics/Mathematical Finance/Insurance; Econometrics; Macroeconomics/Monetary Economics//Financial Economics,Springer International Publishing,Springer
Classical Fourier Analysis,Loukas Grafakos,3rd ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4939-1193-6,978-1-4939-1194-3,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,249,http://doi.org/10.1007/978-1-4939-1194-3,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1194-3,Mathematics; Fourier Analysis; Abstract Harmonic Analysis; Functional Analysis,Springer New York,Springer
Quantum Theory for Mathematicians,Brian C. Hall,2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-7115-8,978-1-4614-7116-5,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,267,http://doi.org/10.1007/978-1-4614-7116-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7116-5,"Mathematics; Mathematical Physics; Mathematical Applications in the Physical Sciences; Quantum Physics; Functional Analysis; Topological Groups, Lie Groups; Mathematical Methods in Physics",Springer New York,Springer
"Brownian Motion, Martingales, and Stochastic Calculus ",Jean-François Le Gall,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-31088-6,978-3-319-31089-3,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,274,http://doi.org/10.1007/978-3-319-31089-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31089-3,"Mathematics; Probability Theory and Stochastic Processes; Quantitative Finance; Measure and Integration; Mathematical Modeling and Industrial Mathematics; Systems Theory, Control",Springer International Publishing,Springer
Design and Analysis of Experiments,"Angela Dean, Daniel Voss, Danel Draguljić",2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-52248-7,978-3-319-52250-0,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-3-319-52250-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-52250-0,"Statistics; Statistical Theory and Methods; Probability Theory and Stochastic Processes; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences",Springer International Publishing,Springer
Applied Multivariate Statistical Analysis,"Wolfgang Karl Härdle, Léopold Simar",4th ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-662-45170-0,978-3-662-45171-7,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-662-45171-7,http://link.springer.com/openurl?genre=book&isbn=978-3-662-45171-7,Statistics; Statistics for Business/Economics/Mathematical Finance/Insurance; Quantitative Finance; Economic Theory/Quantitative Economics/Mathematical Methods; Statistical Theory and Methods,Springer Berlin Heidelberg,Springer
Probability,Jim Pitman,1993,Undergraduate textbook,1993,Springer Science+Business Media LLC,978-0-387-97974-8,978-1-4612-4374-8,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-1-4612-4374-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-4374-8,Mathematics; Probability Theory and Stochastic Processes; Statistical Theory and Methods,Springer New York,Springer
Modeling Life,"Alan Garfinkel, Jane Shevtsov, Yina Guo",1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-59730-0,978-3-319-59731-7,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-319-59731-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-59731-7,Mathematics; Mathematical and Computational Biology; Mathematical Modeling and Industrial Mathematics; Ordinary Differential Equations,Springer International Publishing,Springer
Business Statistics for Competitive Advantage with Excel 2016 ,Cynthia Fraser,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-32184-4,978-3-319-32185-1,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-319-32185-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-32185-1,Statistics; Statistics for Business/Economics/Mathematical Finance/Insurance; Management; Market Research/Competitive Intelligence,Springer International Publishing,Springer
A Primer on Scientific Programming with Python,Hans Petter Langtangen,5th ed. 2016,Undergraduate textbook,2016,Springer-Verlag Berlin Heidelberg,978-3-662-49886-6,978-3-662-49887-3,EN,English/International,11649,Mathematics and Statistics,,1611-0994,2197-179X,Texts in Computational Science and Engineering,6,http://doi.org/10.1007/978-3-662-49887-3,http://link.springer.com/openurl?genre=book&isbn=978-3-662-49887-3,"Mathematics; Computational Science and Engineering; Programming Techniques; Mathematics of Computing; Numerical and Computational Physics, Simulation",Springer Berlin Heidelberg,Springer
Statistical Analysis and Data Display,"Richard M. Heiberger, Burt Holland",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-2121-8,978-1-4939-2122-5,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-1-4939-2122-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2122-5,"Statistics; Statistical Theory and Methods; Statistics and Computing/Statistics Programs; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences",Springer New York,Springer
Elementary Analysis,Kenneth A. Ross,2nd ed. 2013,Undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-6270-5,978-1-4614-6271-2,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4614-6271-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6271-2,Mathematics; Analysis; Real Functions,Springer New York,Springer
Probability Theory,Alexandr A. Borovkov,2013,Graduate/advanced undergraduate textbook,2013,Springer-Verlag London,978-1-4471-5200-2,978-1-4471-5201-9,EN,English/International,11649,Mathematics and Statistics,,0172-5939,2191-6675,Universitext,,http://doi.org/10.1007/978-1-4471-5201-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5201-9,Mathematics; Probability Theory and Stochastic Processes,Springer London,Springer
Statistics and Data Analysis for Financial Engineering,"David Ruppert, David S. Matteson",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-2613-8,978-1-4939-2614-5,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-1-4939-2614-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2614-5,"Statistics; Statistics for Business/Economics/Mathematical Finance/Insurance; Quantitative Finance; Statistical Theory and Methods; Finance, general",Springer New York,Springer
Differential Equations and Their Applications,Martin Braun,4th ed. 1993,Undergraduate textbook,1993,Springer Science+Business Media New York,978-0-387-97894-9,978-1-4612-4360-1,EN,English/International,11649,Mathematics and Statistics,,0939-2475,2196-9949,Texts in Applied Mathematics,11,http://doi.org/10.1007/978-1-4612-4360-1,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-4360-1,Mathematics; Analysis,Springer New York,Springer
Partial Differential Equations,Jürgen Jost,3rd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media LLC,978-1-4614-4808-2,978-1-4614-4809-9,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,214,http://doi.org/10.1007/978-1-4614-4809-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4809-9,"Mathematics; Partial Differential Equations; Theoretical, Mathematical and Computational Physics",Springer New York,Springer
Bayesian and Frequentist Regression Methods,Jon Wakefield,2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4419-0924-4,978-1-4419-0925-1,EN,English/International,11649,Mathematics and Statistics,,0172-7397,2197-568X,Springer Series in Statistics,,http://doi.org/10.1007/978-1-4419-0925-1,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-0925-1,"Statistics; Statistical Theory and Methods; Statistics, general",Springer New York,Springer
Introduction to Time Series and Forecasting,"Peter J. Brockwell, Richard A. Davis",3rd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-29852-8,978-3-319-29854-2,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-3-319-29854-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-29854-2,"Statistics; Statistical Theory and Methods; Statistics for Business/Economics/Mathematical Finance/Insurance; Econometrics; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences",Springer International Publishing,Springer
Introduction to Smooth Manifolds,John Lee,2nd ed. 2013,Graduate/advanced undergraduate textbook,2012,Springer Science+Business Media New York,978-1-4419-9981-8,978-1-4419-9982-5,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,218,http://doi.org/10.1007/978-1-4419-9982-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9982-5,Mathematics; Differential Geometry,Springer New York,Springer
Multivariate Calculus and Geometry,Seán Dineen,3rd ed. 2014,Undergraduate textbook,2014,Springer-Verlag London,978-1-4471-6418-0,978-1-4471-6419-7,EN,English/International,11649,Mathematics and Statistics,,1615-2085,2197-4144,Springer Undergraduate Mathematics Series,,http://doi.org/10.1007/978-1-4471-6419-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6419-7,"Mathematics; Mathematics, general",Springer London,Springer
Representation Theory,"William Fulton, Joe Harris",2004,Graduate/advanced undergraduate textbook,2004,Springer Science+Business Media New York,978-0-387-97495-8,978-1-4612-0979-9,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,129,http://doi.org/10.1007/978-1-4612-0979-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-0979-9,"Mathematics; Topological Groups, Lie Groups",Springer New York,Springer
Linear Algebra Done Right,Sheldon Axler,3rd ed. 2015,Undergraduate textbook,2015,Springer International Publishing,978-3-319-11079-0,978-3-319-11080-6,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-319-11080-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-11080-6,"Mathematics; Linear and Multilinear Algebras, Matrix Theory",Springer International Publishing,Springer
Linear Algebra,"Jörg Liesen, Volker Mehrmann",1st ed. 2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-24344-3,978-3-319-24346-7,EN,English/International,11649,Mathematics and Statistics,,1615-2085,2197-4144,Springer Undergraduate Mathematics Series,,http://doi.org/10.1007/978-3-319-24346-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-24346-7,"Mathematics; Linear and Multilinear Algebras, Matrix Theory",Springer International Publishing,Springer
Algebra,Serge Lang,3rd ed. 2002,Graduate/advanced undergraduate textbook,2002,Springer Science+Business Media New York,978-0-387-95385-4,978-1-4613-0041-0,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,211,http://doi.org/10.1007/978-1-4613-0041-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4613-0041-0,"Mathematics; Algebra; Commutative Rings and Algebras; Linear and Multilinear Algebras, Matrix Theory; Associative Rings and Algebras; Group Theory and Generalizations",Springer New York,Springer
Understanding Analysis,Stephen Abbott,2nd ed. 2015,Undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-2711-1,978-1-4939-2712-8,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4939-2712-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2712-8,Mathematics; Analysis,Springer New York,Springer
Ordinary Differential Equations,"William A. Adkins, Mark G. Davidson",2012,Undergraduate textbook,2012,Springer Science+Business Media New York,978-1-4614-3617-1,978-1-4614-3618-8,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4614-3618-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3618-8,Mathematics; Ordinary Differential Equations,Springer New York,Springer
Understanding Statistics Using R,"Randall Schumacker, Sara Tomek",2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-6226-2,978-1-4614-6227-9,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-1-4614-6227-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6227-9,"Statistics; Statistics and Computing/Statistics Programs; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Statistics, general",Springer New York,Springer
Survival Analysis,"David G. Kleinbaum, Mitchel Klein",3rd ed. 2012,Graduate/advanced undergraduate textbook,2012,"Springer Science+Business Media, LLC",978-1-4419-6645-2,978-1-4419-6646-9,EN,English/International,11649,Mathematics and Statistics,,1431-8776,2197-5671,Statistics for Biology and Health,,http://doi.org/10.1007/978-1-4419-6646-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-6646-9,"Statistics; Statistics for Life Sciences, Medicine, Health Sciences; Epidemiology",Springer New York,Springer
An Introduction to Statistical Learning,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani",2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-7137-0,978-1-4614-7138-7,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,103,http://doi.org/10.1007/978-1-4614-7138-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7138-7,"Statistics; Statistical Theory and Methods; Statistics and Computing/Statistics Programs; Statistics, general",Springer New York,Springer
Statistical Learning from a Regression Perspective,Richard A. Berk,2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,"Springer International Publishing AG, part of Springer Nature",978-3-319-44047-7,978-3-319-44048-4,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-3-319-44048-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44048-4,"Statistics; Statistical Theory and Methods; Probability Theory and Stochastic Processes; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Public Health; Psychological Methods/Evaluation; Methodology of the Social Sciences",Springer International Publishing,Springer
Applied Partial Differential Equations,J. David Logan,3rd ed. 2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-12492-6,978-3-319-12493-3,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-319-12493-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-12493-3,Mathematics; Partial Differential Equations; Mathematical Methods in Physics; Community & Population Ecology,Springer International Publishing,Springer
Regression Modeling Strategies,"Frank E. Harrell , Jr.",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-19424-0,978-3-319-19425-7,EN,English/International,11649,Mathematics and Statistics,,0172-7397,2197-568X,Springer Series in Statistics,,http://doi.org/10.1007/978-3-319-19425-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-19425-7,"Statistics; Statistical Theory and Methods; Statistics for Life Sciences, Medicine, Health Sciences; Statistics and Computing/Statistics Programs",Springer International Publishing,Springer
Applied Quantitative Finance,"Wolfgang Karl Härdle, Cathy Yi-Hsuan Chen, Ludger Overbeck",3rd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer-Verlag GmbH Germany,978-3-662-54485-3,978-3-662-54486-0,EN,English/International,11649,Mathematics and Statistics,,1431-8784,2197-1706,Statistics and Computing,,http://doi.org/10.1007/978-3-662-54486-0,http://link.springer.com/openurl?genre=book&isbn=978-3-662-54486-0,Statistics; Statistics for Business/Economics/Mathematical Finance/Insurance; Quantitative Finance; Risk Management; Business Finance,Springer Berlin Heidelberg,Springer
A Modern Introduction to Probability and Statistics,"F.M. Dekking, C. Kraaikamp, H.P. Lopuhaä, L.E. Meester",2005,Undergraduate textbook,2005,Springer-Verlag London,978-1-85233-896-1,978-1-84628-168-6,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/1-84628-168-7,http://link.springer.com/openurl?genre=book&isbn=978-1-84628-168-6,"Mathematics; Probability Theory and Stochastic Processes; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences; Mathematical and Computational Engineering",Springer London,Springer
Complex Analysis,"Joseph Bak, Donald J. Newman",3rd ed. 2010,Undergraduate textbook,2010,"Springer Science+Business Media, LLC",978-1-4419-7287-3,978-1-4419-7288-0,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4419-7288-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-7288-0,Mathematics; Analysis,Springer New York,Springer
Calculus With Applications,"Peter D. Lax, Maria Shea Terrell",2nd ed. 2014,Undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-7945-1,978-1-4614-7946-8,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4614-7946-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7946-8,Mathematics; Calculus,Springer New York,Springer
Fundamentals of Clinical Trials,"Lawrence M. Friedman, Curt D. Furberg, David L. DeMets, David M. Reboussin, Christopher B. Granger",5th ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-18538-5,978-3-319-18539-2,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-319-18539-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18539-2,"Statistics; Statistics for Life Sciences, Medicine, Health Sciences; Public Health; Epidemiology; Cancer Research; Oncology",Springer International Publishing,Springer
Applied Predictive Modeling,"Max Kuhn, Kjell Johnson",2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-6848-6,978-1-4614-6849-3,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-1-4614-6849-3,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6849-3,"Statistics; Statistics for Life Sciences, Medicine, Health Sciences; Statistics and Computing/Statistics Programs; Statistics, general",Springer New York,Springer
